Name,X,Y,Z
HR 1507,17.56,-54.06,-138.28
HR 158,-85.88,36.91,-55.09
HR 1593,-58.19,24.25,-97.53
HR 1594,-50.78,24.16,-71.00
HR 1597,78.19,-60.88,-3.44
HR 1613,54.31,-68.06,-136.38
HR 1621,108.38,-105.91,-127.34
HR 1645,113.19,-104.00,-111.25
HR 17,-87.41,-45.19,-39.03
HR 1717,55.75,-55.72,-131.13
HR 1737,82.56,-70.78,-117.22
HR 1782,68.78,-59.84,-157.19
HR 1785,107.78,-81.00,-91.59
HR 1856,115.97,-77.88,-34.72
HR 1877,132.31,-88.44,-66.03
HR 1915,121.50,-79.97,-92.19
HR 1940,62.47,-40.72,-117.13
HR 1955,63.13,-40.13,-137.31
HR 197,-7.72,-86.84,-3.22
HR 1975,153.97,-94.09,-165.53
HR 1978,60.00,-34.94,-149.50
HR 198,44.91,-202.59,32.41
HR 1980,53.88,-32.50,-54.63
HR 1981,136.38,-83.59,-63.59
HR 2150,105.13,-44.22,-138.13
HR 2204,168.22,-86.72,-37.81
HR 2209,-91.69,68.13,-132.59
HR 2217,-8.66,29.34,-172.69
HR 2283,87.94,-49.00,19.16
HR 2324,123.81,-23.28,-199.97
HR 2365,-66.53,50.38,-82.44
HR 2375,73.63,5.56,-194.03
HR 2439,18.19,16.91,-104.00
HR 244,-51.00,-1.59,-33.75
HR 2622,59.50,0.03,-73.34
HR 2711,24.47,40.50,-130.25
HR 2776,-12.81,47.97,-104.56
HR 2798,83.06,6.16,-84.25
HR 2848,99.03,-59.06,56.38
HR 2883,65.06,8.44,-63.13
HR 29,-76.44,-173.78,-11.72
HR 2906,69.81,-1.19,-43.94
HR 2926,35.09,50.31,-124.69
HR 299,70.59,-225.19,34.03
HR 3007,131.72,-14.00,-45.63
HR 3072,90.31,25.81,-89.19
HR 3193,5.91,83.22,-132.53
HR 325,-2.06,-223.38,-20.75
HR 3277,-33.72,95.75,-129.41
HR 3316,100.72,19.81,-51.13
HR 333,-213.88,79.53,-144.75
HR 3495,181.78,-46.72,36.31
HR 3499,13.59,58.06,-70.69
HR 358,25.19,-252.78,-10.16
HR 3584,112.00,38.53,-48.66
HR 3635,64.06,75.34,-79.59
HR 3638,236.84,92.47,-99.22
HR 3714,136.84,65.34,-58.16
HR 3747,-33.06,96.34,-91.75
HR 3762,130.41,97.38,-80.34
HR 3862,44.34,18.09,-10.03
HR 394,-8.53,-196.69,-38.47
HR 3954,-36.28,126.75,-100.00
HR 3991,71.81,51.00,-20.59
HR 404,-31.34,-140.94,-48.03
HR 4062,-89.88,70.34,-67.41
HR 408,63.84,-226.69,8.81
HR 409,-98.59,-43.47,-83.13
HR 4130,125.81,59.66,-0.72
HR 4298,91.66,43.88,12.31
HR 4358,91.34,171.69,-34.59
HR 4373,137.81,63.47,30.63
HR 4413,80.97,-4.41,-80.31
HR 4429,-125.88,112.75,-93.47
HR 4509,147.84,-52.50,84.78
HR 4529,89.81,106.78,15.28
HR 4547,96.28,109.25,19.88
HR 4548,83.19,51.09,28.28
HR 457,-90.56,-131.00,-102.59
HR 4574,3.38,150.03,-31.88
HR 4631,195.69,96.41,90.00
HR 4637,150.00,32.16,76.63
HR 466,-17.16,-116.19,-42.03
HR 4678,86.91,145.38,29.00
HR 4680,3.41,192.13,-24.22
HR 4710,139.31,-14.63,82.19
HR 4720,135.91,-9.06,80.25
HR 473,7.19,-245.72,-55.78
HR 4734,73.59,20.28,41.22
HR 4749,118.81,14.63,69.03
HR 4767,-24.03,63.88,-58.47
HR 4771,209.78,-4.16,126.53
HR 4776,73.44,93.28,37.38
HR 4788,75.88,28.31,-80.31
HR 4803,79.09,64.84,45.50
HR 4867,-35.72,65.81,-58.47
HR 4926,13.44,126.41,16.09
HR 4934,-61.28,96.97,-36.25
HR 494,35.41,-130.78,-5.88
HR 4979,48.28,28.03,37.75
HR 5000,102.19,-5.97,74.00
HR 5014,86.09,232.50,95.19
HR 5048,102.16,-4.84,76.69
HR 5082,90.22,-30.06,64.22
HR 5097,139.97,126.94,137.06
HR 5113,90.94,0.75,72.81
HR 5128,89.53,79.53,91.81
HR 5156,16.50,109.56,42.97
HR 5179,-52.97,162.97,3.66
HR 5183,15.84,93.47,40.91
HR 5243,2.09,75.94,28.31
HR 5275,24.56,170.75,90.25
HR 5307,21.97,121.97,75.13
HR 5322,33.19,108.31,81.88
HR 5335,-55.69,137.94,12.34
HR 5347,-58.16,151.31,17.88
HR 5349,114.00,-1.59,108.94
HR 5372,-173.19,280.66,-25.69
HR 5436,-63.56,80.06,-17.31
HR 5451,-54.31,78.25,-7.81
HR 5457,68.81,23.59,87.94
HR 5465,94.44,2.00,102.22
HR 5473,-15.06,144.22,80.19
HR 5482,109.94,-8.84,113.13
HR 5491,157.53,-92.91,107.59
HR 5492,-81.38,103.38,-16.84
HR 5504,44.97,74.75,102.41
HR 5529,-54.13,118.00,27.41
HR 5550,-23.97,133.06,76.56
HR 5630,-42.22,83.94,25.28
HR 5632,51.56,-4.59,59.56
HR 5663,88.34,21.63,134.84
HR 5706,0.09,77.75,83.78
HR 571,84.53,-126.28,29.09
HR 5716,-95.72,144.94,30.09
HR 5740,-39.19,107.88,70.19
HR 5751,72.66,41.66,153.63
HR 5758,-28.16,121.59,108.13
HR 5791,-17.25,124.69,134.13
HR 5813,-52.69,96.16,48.63
HR 5816,2.59,46.84,66.19
HR 5930,10.19,78.09,146.84
HR 5960,-75.28,79.28,6.41
HR 5970,47.56,45.66,167.56
HR 5975,41.16,22.00,114.38
HR 5996,1.97,39.53,79.03
HR 6067,-20.22,74.41,122.59
HR 6077,33.34,35.53,149.66
HR 6091,-54.16,60.88,27.63
HR 6177,53.22,-17.19,85.50
HR 6189,-16.56,51.19,119.06
HR 6201,-39.06,73.63,135.97
HR 6202,1.28,38.75,131.53
HR 6269,26.25,80.03,64.53
HR 6284,-9.50,36.88,131.63
HR 6297,72.41,-23.66,150.84
HR 6301,-93.91,102.31,143.03
HR 6328,-85.66,78.94,75.69
HR 6351,-122.94,104.94,77.59
HR 638,-5.78,-139.53,-67.88
HR 6398,19.25,-1.22,97.88
HR 6421,-114.78,80.72,-4.88
HR 6467,-102.78,73.16,28.50
HR 6496,-29.06,28.88,135.81
HR 6507,-74.63,59.69,169.38
HR 6534,-49.28,37.59,144.09
HR 6541,-75.41,51.97,81.81
HR 6552,155.16,-97.72,122.22
HR 6565,82.41,-51.38,103.00
HR 6594,-68.13,42.34,80.56
HR 6598,-124.69,78.56,-22.03
HR 6649,18.03,-15.28,100.34
HR 6669,-88.72,51.03,39.22
HR 6680,-6.84,-6.59,167.06
HR 6767,-157.22,81.06,60.72
HR 6793,-169.75,83.00,85.72
HR 6797,-78.22,26.84,128.78
HR 6828,34.00,-27.34,61.19
HR 6831,-108.09,46.91,71.81
HR 6836,-7.53,-11.03,98.53
HR 687,-91.31,-47.03,-113.91
HR 6907,-8.31,-18.84,117.59
HR 692,0.19,-85.84,-44.63
HR 6948,9.78,-29.88,116.44
HR 6950,-83.84,25.91,70.84
HR 6987,-65.41,10.88,85.13
HR 6999,-75.72,2.38,136.88
HR 7012,41.47,-38.25,74.06
HR 7038,-47.00,-30.25,191.38
HR 7047,-113.31,28.59,83.03
HR 706,39.31,-93.09,-11.63
HR 7079,-74.59,17.44,54.09
HR 7136,9.31,-62.59,184.88
HR 7169,-0.22,-43.88,132.34
HR 7221,58.53,-55.81,91.25
HR 7263,-113.84,14.28,81.34
HR 7291,-20.63,-25.38,83.69
HR 7294,-75.25,23.44,12.13
HR 7297,36.19,-64.19,127.19
HR 7327,-47.72,-52.09,166.22
HR 7386,-76.56,5.91,45.66
HR 7451,-78.84,20.44,8.75
HR 7484,-128.38,35.63,5.75
HR 755,97.25,-162.69,0.41
HR 7579,107.47,-120.03,162.34
HR 7605,-6.63,-80.13,142.34
HR 7658,-60.69,-87.63,168.47
HR 7674,18.44,-41.91,61.19
HR 7698,163.75,-123.25,137.66
HR 7729,-14.78,-78.00,122.13
HR 7749,11.06,-57.19,81.72
HR 7756,-110.19,10.97,15.06
HR 7766,15.25,-58.41,81.19
HR 7793,-70.19,-19.41,45.06
HR 780,69.47,-163.13,-32.75
HR 7808,-8.34,-69.63,99.53
HR 783,-21.84,-96.25,-86.94
HR 784,2.53,-60.34,-37.28
HR 7887,-153.06,-16.81,45.94
HR 7907,-86.84,-34.47,56.78
HR 7925,-104.53,21.06,-12.19
HR 8019,115.41,-158.00,171.38
HR 8031,-13.09,-86.56,97.84
HR 8061,33.47,-37.94,39.94
HR 8099,-146.00,43.97,-44.97
HR 8104,-4.63,-74.78,77.09
HR 8133,-133.88,26.28,-28.97
HR 816,-21.38,-117.78,-106.38
HR 8170,-87.25,-10.47,6.41
HR 8202,2.38,-133.88,126.28
HR 8208,-109.03,-5.34,-1.53
HR 8210,-132.34,-57.25,45.56
HR 8212,-58.81,-75.97,66.78
HR 8250,-185.72,-74.97,49.56
HR 826,33.03,-139.19,-63.88
HR 8268,-20.28,-110.69,94.06
HR 827,28.75,-114.97,-51.53
HR 8276,-114.00,-52.31,32.88
HR 8352,52.75,-107.56,92.81
HR 8380,115.69,-123.78,113.81
HR 8423,-105.38,48.25,-55.53
HR 8435,-173.44,-97.84,34.56
HR 8444,-24.44,-170.16,114.81
HR 8461,-147.75,-95.59,34.09
HR 8472,-118.84,1.13,-26.88
HR 8474,-97.97,21.31,-36.13
HR 8514,-74.22,-64.19,23.47
HR 8526,41.78,-47.44,40.69
HR 8527,79.00,-108.78,89.13
HR 853,124.84,-253.56,-52.09
HR 8536,-165.50,-47.03,-12.34
HR 8563,-28.56,-111.69,60.25
HR 8593,65.63,-171.50,118.66
HR 8631,-86.38,-67.56,11.38
HR 8662,32.72,-219.38,127.06
HR 8666,-177.69,-41.06,-34.84
HR 8671,-3.78,-196.66,102.34
HR 8672,171.09,-238.16,179.94
HR 8687,-190.03,30.63,-78.19
HR 8718,-117.97,-43.94,-18.88
HR 8737,-75.16,-74.53,9.09
HR 8769,84.13,-125.06,87.59
HR 8786,150.00,-143.63,119.59
HR 8788,-112.25,-87.03,-3.31
HR 8792,-73.16,-54.34,-3.31
HR 8793,26.84,-112.06,59.50
HR 8799,-104.31,-74.84,-6.47
HR 8809,94.88,-153.59,102.25
HR 8829,38.19,-74.84,45.88
HR 8845,-120.31,-79.50,-16.13
HR 8959,31.38,-184.38,71.50
HR 8977,-123.81,-57.72,-40.44
HR 8993,35.66,-209.41,76.31
HR 9001,18.41,-209.03,66.34
HR 9026,-46.31,-312.00,58.16
HR 9046,8.81,-86.38,25.03
HR 9060,94.09,-173.06,87.19
HR 9095,-40.34,-194.53,18.38
HR 913,6.69,-87.31,-67.56
HR 916,-55.50,-64.97,-123.25
HR 943,60.81,-153.34,-67.53
Hraean,42.88,-64.47,-167.66
Hraeango,-173.75,-9.97,-42.53
Hrana,-46.94,-12.38,94.50
Hranbi,116.31,-99.75,17.78
Hranit,-11.59,-80.63,-66.22
Hrans,115.72,-59.13,-34.13
Hranyi,143.59,50.41,11.03
Hreidmarda,-38.59,-78.28,-140.31
Hreinja,36.75,88.16,-78.59
Hreintania,86.53,88.41,49.28
Hreip,-113.84,-78.94,72.25
Hreipner,-13.72,-139.41,69.47
Hrimfaxi,39.13,-0.13,-45.69
Hrisastshi,-38.44,-28.78,34.91
Hrisates,15.50,-191.00,123.81
Hrun,158.22,-11.63,25.47
Hrunapori,77.16,-60.28,-11.28
Hrunda,-61.38,19.94,-99.63
Hrungubuju,70.75,60.75,-18.25
Hruntia,64.09,-123.47,-15.69
Hrymonada,98.59,-36.56,-39.63
Hsie,-84.41,-16.69,-147.97
Hsien Baji,-49.19,20.22,-43.63
Hsien Sham,-26.84,-89.56,123.75
Hsinga,10.59,-73.53,-41.97
Hsini,-107.84,10.75,-80.28
Hsua Bumi,158.75,-59.53,-4.38
Hsuan Zu,114.31,-246.28,110.09
Hsuang,100.13,-143.34,136.56
Hsuani,-122.25,-51.34,119.06
Hsuanqueno,-7.03,-117.25,89.09
Hu Jing Te,115.94,37.97,-61.16
Hu Jini,139.13,-22.09,2.97
Hu Jona,-84.00,-9.22,3.22
Hu Jun,-62.09,-52.97,106.31
Hu Jung,26.38,-90.75,-63.19
Huacae,48.09,75.94,113.53
Huachipaeri,50.66,-0.16,-125.78
Huai Hait,151.72,-108.06,30.16
Huai Na,59.06,-198.69,117.78
Huaich,-97.16,-96.28,74.25
Hual,22.19,69.56,-6.44
Hualamsa,81.09,-170.66,153.34
Hualarna,58.19,54.53,28.00
Hualm,109.38,4.06,69.78
Huambisa,-128.50,-24.03,-18.97
Huan Guang,-43.44,-99.28,115.00
Huan Nu,180.16,-108.47,34.91
Huandiga,-72.59,27.69,-104.28
Huandja,-92.38,2.56,92.16
Huang Gun,147.31,-180.00,77.88
Huang Yai,125.50,7.09,0.31
Huangais,72.53,-12.03,10.72
Huano,80.09,-92.06,-96.59
Huaorani,-65.38,70.00,-84.31
Huave,-40.25,-139.19,16.25
Huaveri,113.53,5.38,63.66
Huh,-26.88,-34.38,37.19
Huiche,-50.69,-18.59,-57.63
Huichi,-15.94,-74.75,18.22
Huichis,-58.75,-162.91,-15.22
Huichu,50.59,-146.84,87.09
Huile,-97.41,75.00,-83.84
Huilliche,-79.88,-13.56,48.78
Huldr,-8.34,149.13,76.19
Huma,44.06,-131.91,-23.16
Humana,116.75,-245.44,40.31
Humania,-21.75,-22.41,106.75
Humanicnii,185.06,-158.09,38.19
Humarala,-118.03,-92.25,-2.44
Humatsu,46.56,-171.09,-61.03
Hun Ahaw,121.13,16.31,-2.97
Hun Ahayuse,-15.41,4.81,75.63
Hun Aphuill,49.09,-152.31,-101.63
Hun Binja,-8.03,129.16,-80.19
Hun Chami,-63.06,19.09,-116.41
Hun Chians,64.56,-110.78,71.56
Hun Chonses,9.13,-3.72,80.47
Hun Cruac,189.53,-114.94,15.09
Hun Cruacoc,-84.38,74.63,85.00
Hun Du,-6.25,-190.22,98.97
Hun Dun,116.09,-56.97,81.84
Hun Hi,142.09,-150.34,48.81
Hun Hsinas,145.56,55.66,-46.94
Hun Nal Yeh,75.72,58.88,60.38
Hun Nef,17.47,-56.63,137.91
Hun Nighu,136.50,-75.59,103.28
Hun Nik,155.69,107.13,-78.66
Hun Nongga,98.81,-84.72,92.00
Hun Nu,-76.03,50.19,-110.28
Hun Pef,158.22,-107.75,39.66
Hun Pi,-120.44,-59.53,-84.88
Hun Puggsa,-143.34,76.06,-40.97
Hun Pulan,7.22,-80.28,-109.41
Hun Ti,-62.97,41.97,100.97
Hun Tsach,12.09,-13.38,143.78
Hun Wu,88.13,53.78,-103.59
Hunaharten,2.19,-40.09,82.53
Hunahati,191.13,-160.56,11.66
Hunahau,46.63,23.97,-58.16
Hunapel,160.31,-86.06,40.66
Hunapep,85.19,-52.25,119.34
Hunapese,42.63,-206.06,3.56
Hunapiti,-43.06,-73.69,125.44
Hunbina,135.56,71.25,15.91
Hunbinja,-100.03,61.72,58.44
Hunbudji,171.09,-73.09,6.13
Hunbul,20.38,78.59,-63.06
Hunburra,-31.84,45.75,139.41
Huncetae,-34.03,-213.88,106.59
Hunchis,180.16,-159.22,21.13
Hunchosgan,-22.38,-217.16,39.75
Hunchosim,-2.75,55.31,-100.56
Hungalun,-132.91,92.81,40.97
Hungua,-114.78,113.91,79.25
Hunharecomi,148.59,-79.16,99.28
Hunhau,-43.38,-152.59,57.72
Huntan,-40.50,-102.16,-60.88
Hunte,29.66,-150.91,34.94
Huntics,158.28,-123.78,-0.03
Hunza,132.97,-70.22,66.16
Hunzi,132.00,-180.03,102.81
Hunzicnal,104.81,-64.13,85.81
Huokang,-12.19,35.47,-25.28
Hupako,-79.94,-45.38,-16.72
Hupan,-40.16,-61.44,80.25
Hupang,94.84,-77.63,-116.03
Hupanga,21.97,-105.91,156.44
Huruk,-4.13,-176.25,-31.56
Hurukuntak,55.03,-24.94,116.75
Hurusalki,-104.59,93.63,-23.56
Huveang De,-40.72,-22.84,-114.75
Hyades Sector CB-X d1-121,-108.25,-3.97,-156.81
Hyades Sector DB-X d1-66,-29.63,9.25,-167.63
Hyades Sector EB-X d1-58,92.97,45.38,-136.25
Hyades Sector EB-X d1-69,52.84,41.81,-139.25
Hyades Sector EB-X d1-71,74.81,49.19,-145.50
Hyades Sector EB-X d1-93,17.78,54.91,-183.16
Hyades Sector FB-X d1-73,97.47,-15.78,-137.88
Hyades Sector FB-X d1-95,95.72,25.03,-171.44
Hyades Sector GW-W d1-83,86.03,-67.47,-177.94
Hyades Sector GX-R b5-2,20.13,62.63,-146.94
Hyades Sector HR-V c2-14,94.03,-4.47,-172.44
Hyades Sector HR-W d1-54,-5.75,-129.56,-166.16
Hyades Sector HW-W d1-105,95.47,-59.75,-153.28
Hyades Sector HW-W d1-107,118.91,-75.16,-159.38
Hyades Sector HW-W d1-59,134.97,-73.22,-134.69
Hyades Sector HW-W d1-63,126.19,-29.63,-141.47
Hyades Sector HW-W d1-73,107.09,-71.53,-160.34
Hyades Sector HW-W d1-86,104.19,-50.84,-132.06
Hyades Sector IR-W d1-51,63.00,-179.19,-126.28
Hyades Sector IR-W d1-55,27.16,-147.16,-167.78
Hyades Sector IR-W d1-81,46.16,-149.72,-124.72
Hyades Sector IR-W d1-93,17.06,-148.41,-175.03
Hyades Sector KD-S c4-26,-122.47,0.97,-104.88
Hyades Sector KH-V c2-19,45.22,-88.38,-157.25
Hyades Sector KH-V c2-22,31.38,-94.22,-177.25
Hyades Sector KH-V c2-9,15.53,-96.94,-153.06
Hyades Sector LX-T c3-29,62.41,-21.22,-126.00
Hyades Sector MD-S c4-21,-57.38,3.88,-104.28
Hyades Sector MY-R c4-13,-131.78,-29.13,-95.72
Hyades Sector NS-T c3-12,91.50,-50.75,-129.47
Hyades Sector PN-T c3-7,87.41,-85.44,-142.31
Hyades Sector QD-S c4-14,98.84,-11.94,-73.22
Hyades Sector QI-T c3-12,40.91,-137.13,-125.03
Hyades Sector QN-T c3-12,100.66,-77.22,-138.91
Hyades Sector UJ-R c4-12,-46.69,-178.53,-80.22
Hydrae Sector AA-A D142,72.72,34.78,-80.31
Hydrae Sector DW-V b2-2,84.53,143.59,66.94
Hydrae Sector IR-W B1-2,58.94,45.47,-80.31
Hydrae Sector IR-W B1-5,58.25,43.31,-80.31
Hydrae Sector IR-W c1-16,131.22,78.84,59.94
Hydrae Sector KM-W B1-4,74.69,32.47,-80.31
Hydrae Sector LM-W B1-5,75.81,34.63,-80.31
Hydrae Sector MX-U c2-18,106.91,71.97,119.56
Hydrae Sector UJ-R b4-5,60.94,52.84,110.00
Hyel Ye,122.00,12.38,45.75
Hyel Yeh,-96.28,0.63,-86.28
Hyelobo Di,86.47,-131.19,148.28
Hyldekagati,19.25,-64.53,-1.56
Hyldeptu,38.66,-9.28,-116.41
Hyperborea,45.59,-139.16,22.44
Hyperion,-51.19,7.50,-16.72
Hyrokkin,-29.69,-125.94,25.28
Hyroks,-28.56,-2.09,8.50
Hyroku,95.16,-2.94,-72.63
i Bootis,-22.38,34.84,4.00
I Carinae,47.06,-13.00,20.31
I Puppis,65.72,-19.09,-14.09
Iado,-3.03,-158.13,55.88
Iadoitj,76.03,-114.88,171.56
Iadou,116.63,-120.19,-84.22
Iah,72.31,-26.31,-99.00
Iah Bei,20.56,-120.19,-143.56
Iah Bulu,-94.09,39.84,31.28
Iah Lanitei,62.16,-71.34,13.41
Iah Lohra,-41.69,-147.41,27.34
Iama Kheph,111.28,-168.72,79.78
Iapo Vuh,-114.47,-5.78,-43.44
Iapodes,-97.13,-11.78,-171.28
Iapori,99.91,62.72,0.06
Ibibara,57.38,-20.03,100.13
Ibibe,-11.06,21.63,142.44
Ibibio,-32.44,-184.09,36.78
Ibisanyan,150.66,-236.44,-5.28
Ibishia,-6.69,33.88,-116.19
Ibor,61.38,-59.72,-73.28
Iboraga,-30.28,-151.41,0.56
Ibormbu,3.47,-154.06,-3.81
Iburoana,-18.16,134.41,4.38
Iburodo,70.41,79.28,92.69
Iburongin,-181.06,70.53,85.28
Iburri,129.63,-166.50,150.69
Iceni,62.94,1.81,141.38
Iceniguari,-152.84,-42.53,-39.19
Icones,163.69,-40.63,-33.03
Iconti Shi,115.72,-243.97,32.97
Icontia,-64.81,24.88,19.31
Icovit,-22.75,15.75,97.97
Ictino,113.56,-12.81,22.44
Ida Dhor,128.34,6.47,16.78
Idin,76.94,-163.41,-3.16
Idinda,-86.81,-64.59,-21.16
Idini,-80.00,30.59,-118.66
Idoma,-75.34,-21.69,-100.91
Idomaguara,140.50,-142.06,117.69
Idoman,77.88,-40.78,-119.13
Idomatyritu,145.09,-69.09,-12.38
Idu mishmi,59.84,-198.69,62.97
Idu misi,-56.88,29.16,102.78
Idunei,155.25,-186.59,5.47
Idung Yin,31.72,-142.38,7.19
Idunga,-22.81,135.00,-44.72
Idungbates,42.81,-37.88,87.50
Iduni,-139.38,-80.13,-18.44
Idunn,-14.13,-170.03,91.59
Idununn,-84.09,20.44,39.72
Idzumoku,-50.81,63.59,41.19
Ienpalang,133.53,-99.75,52.66
Igae,34.56,-6.91,96.97
Igaenisan,-58.25,-76.94,-11.59
Igal,79.38,-175.97,-0.47
Igala,-89.84,23.06,-24.38
Igalalani,-16.34,-33.63,104.44
Igaledonii,118.22,-30.84,67.38
Igali,-2.75,38.88,-144.25
Igalilinima,-72.59,15.84,86.69
Igaluk,3.97,129.91,-7.25
Igalumathi,81.22,11.91,121.84
Igbirikan,-54.69,12.59,103.41
Igbo Di,-99.03,78.88,78.41
Igbo Kora,139.81,-82.44,-69.34
Igbon,-48.28,-31.03,-112.56
Igbonii,35.13,155.72,87.19
Igboniu,128.53,71.25,26.78
Igores,116.63,-95.88,87.47
Igoria,118.75,-198.59,19.88
Igorisa,144.81,-10.03,-20.63
Igorodimos,-13.78,-20.44,96.22
Igorot,-172.16,0.84,-43.75
Ijo,74.44,63.69,-106.09
Ikenga,-19.81,-35.88,-46.00
Ikpe,44.63,-190.09,84.44
Ikpen,-105.69,63.97,-72.19
Ikpenones,-39.38,31.56,-45.09
Iksvaku,-162.44,-38.03,0.09
Iksvatan,-12.69,-60.13,116.47
Iksvati,-58.59,-2.06,126.41
Iktock,112.03,-144.28,66.38
Iktomisi,-137.50,-68.41,2.38
IL Aquarii,-6.16,-13.34,4.78
Ilbandi,113.63,67.22,2.63
Ilbassi,87.56,61.06,102.28
Ildaker,-125.91,-2.91,-8.81
Ildana,33.91,-18.00,141.13
Ildano,98.97,-58.69,-131.72
Ilmeno,-20.69,-217.91,-41.97
Ilmenses,4.22,12.50,168.47
Ilmesci,-16.59,-140.81,56.91
Ilya Nigh,82.28,-118.13,-35.78
Ilyaqa,97.81,-100.59,-46.97
Iman Caber,16.09,-19.91,24.47
Imango,-50.59,-2.03,-93.56
Imani,-38.63,-77.13,-41.56
Imantana,-42.63,-85.38,-34.25
Imen,-20.75,15.41,132.25
Imen Mina,-80.34,-17.41,113.75
Imenhit,-40.38,-17.00,82.81
Imentet,45.94,-2.63,-122.00
Imeut,89.03,-72.25,-103.06
Imeutrimudj,-56.38,-67.66,-21.63
Imeuts,39.28,5.75,56.25
Imeutsu,-59.09,-159.88,-41.75
Imhote,-16.97,-75.44,86.63
Imhoth,-45.47,59.88,-61.88
Imhotian,-44.22,5.59,110.72
Imhottii,-16.00,-114.00,123.81
Imisses,-68.13,38.97,39.88
Imiutli,-84.06,-43.72,-13.50
Imset,158.66,-8.28,30.19
Imsetani,52.50,39.06,-82.94
Inara,-93.81,39.72,-86.16
Inarajajara,-81.22,-93.97,-38.81
Inars,162.94,-152.63,115.97
Inawyddi,85.88,-102.81,-135.41
Indaol,-14.03,79.22,-3.59
Indi,50.84,127.41,108.25
Indians,-22.84,156.53,-19.75
Indines,28.22,173.16,-31.16
Indjedetet,-19.63,-137.97,-25.78
Indjibandi,121.19,-71.75,107.03
Indjigan,0.94,-1.22,109.91
Indjin,-116.13,11.97,101.00
Indra,-60.66,-18.13,-7.50
Indrachit,69.22,-116.22,84.09
Indrajangu,95.19,18.00,-36.34
Indramasci,-50.25,-6.16,85.31
Indras,68.53,9.31,122.28
Indraseno,-132.88,36.06,17.31
Indrasians,-95.72,-17.34,-16.97
Indri,-79.03,65.91,-51.97
Indria,151.06,7.78,67.75
Indrians,-45.63,71.88,24.22
Indrundjara,-54.81,-42.13,25.63
Ingaman,36.53,-38.25,109.16
Ingamba,140.41,-123.22,16.19
Ingariko,26.28,-84.25,-102.38
Inggale,-46.19,-32.09,-17.59
Inggarda,163.28,-91.94,106.56
Ingguromal,-1.66,-66.06,70.88
Ingui,215.41,-171.09,17.28
Ingwaz,80.03,-109.09,68.78
Inheimagni,-60.81,-134.81,-17.94
Inherdis,49.16,-255.31,72.44
Inheretii,141.06,-13.31,-40.41
Inhers,-24.84,-79.28,-64.72
Inherseku,-15.81,-110.94,-98.56
Inherth,26.91,-167.84,-48.50
Ining,-59.09,56.25,-78.56
Ining Dun,142.84,8.63,-40.03
Inino,13.66,-4.47,168.09
Ininohima,20.47,-103.84,-14.28
Inktasa,-36.00,57.91,35.72
Inktehit,49.00,-186.44,102.84
Inktomecane,-59.03,100.81,-103.63
Inmutha,-46.69,-87.88,38.03
Inmutintien,82.38,-82.03,-66.16
Inovae,-75.19,127.00,-7.81
Inovandar,-80.47,-3.66,-83.28
Inovii,-3.59,36.75,118.28
Inovik,59.06,-15.16,-5.66
Inovit,-103.06,76.16,-61.09
Insubi,98.25,117.91,48.94
Insubii,-85.41,63.47,-88.78
Inte,-128.06,-97.34,14.50
Intec,148.91,-56.13,30.13
Intener,-56.88,-8.94,-138.09
Intes,36.19,122.13,-99.59
Inti,-10.09,-40.75,-36.00
Inupiat,50.38,76.22,-62.38
Inupiates,70.88,-74.00,32.16
Inupinie,137.53,-140.03,59.53
Iota Aquarii,-78.88,-133.91,80.84
Iota Capricorni,-83.13,-129.88,122.19
Iota Centauri,40.63,25.25,-80.31
Iota Cephei,-106.75,12.69,-41.72
Iota Crucis,101.09,3.38,64.63
Iota Eridani,61.91,-135.19,-24.34
Iota Horologii,29.44,-47.63,-0.94
Iota Hydri,70.75,-58.59,30.84
Iota Pavonis,25.00,-19.34,47.94
Iota Persei,-19.59,-4.16,-27.97
Iota Pictoris A,92.75,-76.22,-14.47
Iota Pictoris B,96.41,-79.22,-15.03
Iota Piscium,-26.88,-35.75,-1.72
Iota Trianguli Australis,72.44,-24.00,100.94
Iota Tucanae,150.50,-250.72,84.03
Iota-1 Normae,76.81,-10.75,116.78
Iota-2 Fornacis,32.56,-101.13,-31.25
Ipet,88.72,-16.50,-47.47
Ipetae,-122.06,-74.34,5.59
Ipete,162.69,8.09,21.75
Ipeterai,-57.28,169.09,-30.00
Ipetes,-4.28,29.28,95.78
Ipila,145.75,60.94,-6.19
Ipilars,-115.47,117.19,106.91
Ipillke,-77.91,11.06,27.31
Ipilyak,80.94,29.69,30.16
Ipilyaqa,70.97,-134.63,53.19
Iptera,76.63,101.56,41.09
Ipterod,-63.06,-45.84,112.78
Iptet,21.88,-201.78,60.84
Iranadhisa,12.06,116.97,28.38
Irandan,-86.38,-12.41,-125.06
Irantxe,-53.19,-149.44,71.56
Irdlivices,-8.84,57.13,-115.34
Irdlivuni,167.06,-78.19,69.44
Irukaiabozo,86.28,-212.47,-34.72
Irukama,140.72,-96.97,67.78
Irukami,60.88,105.53,23.75
Irukan,26.19,104.47,-131.06
Irukas,161.84,-125.50,-50.22
Irula,118.81,3.72,-2.44
Irulachan,-41.66,-61.59,81.81
Iruli,20.47,-102.59,163.59
Irulis,-104.59,-9.41,-57.25
Irusamara,-11.25,-164.75,-62.38
Irusan,42.81,-41.22,-135.81
Irush,100.19,-139.09,121.53
Ishtar,6.75,21.56,-53.00
